state_ut,serial_no,address_raw,host_organization,year_of_sanction,type
Uttar Pradesh,15,"Chandan Chauki, PO. Gola, Tehsil Paliya, Distt. Lakhimpur Kheri-262802","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2005,SAU
Uttar Pradesh,16,"Govt. Agriculture Farm, Khiria Misra, PO. Bamourikala, Devgarh Road Distt. Lalitpur-284403","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2005,SAU
Uttar Pradesh,17,"Krishi Bhawan, Lakula, Distt. Farrukhabad-205302","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2005,SAU
Uttar Pradesh,18,"Tatyora (Near Polytechnic), Distt. Hardoi-241001","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2005,SAU
Uttar Pradesh,19,"Vegetable Seed Production Farm, Sarghatia Distt. Kushinagar-221005","Director, Indian Institute of Vegetables Research (IIVR), Varanasi",2005,ICAR
Uttar Pradesh,20,"Amberpur, PO. Manva, Block Sidhauli, Distt. Sitapur-261303	Manav Vikas Evam Sewa Sansthan, 261, Hind Nagar Kanpur Road, Lucknow	2005 NGO",,2005,NGO
Uttar Pradesh,21,"Meerut Road, Distt. Baghpat-250 609","Vice-Chancellor, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut-250 110",2004,SAU
Uttar Pradesh,22,"Rustamnagar, Bilari, Distt. Moradabad-202411","Vice-Chancellor, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut-250 110",2004,SAU
Uttar Pradesh,23,"Crop Research Station, Masodha, PO. Dabha Semar, Distt. Faizabad -224133","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",2004,SAU
Uttar Pradesh,24,"Belipur, Distt. Gorakhpur-273011","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",2004,SAU
Uttar Pradesh,25,"Basuli, Distt. Maharajganj-273153","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",2004,SAU
Uttar Pradesh,26,"Tissuhi, At Crop Research Centre, PO. Marehan, Distt. Sonbhadra-231310","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",2004,SAU
Uttar Pradesh,27,"195-A,Singh Niketan Harbanshpur, Distt. Azamgarh-276001","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",2004,SAU
Uttar Pradesh,28,"Haidargarh (Near Haidargarh Railway Station), Lilhaura Nyay Panchayat, Distt. Barabanki-227301","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",2004,SAU
Uttar Pradesh,29,"Zonal Agricultural Research Station, Daleep Nagar, Distt. Kanpur (Dehat) -208001","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2004,SAU
Uttar Pradesh,30,"Regional Research Station, Distt. Mainpuri-205001","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2004,SAU
Uttar Pradesh,31,"Zonal Agricultural Research Station, Belatal, PO. Jaitpur, Distt. Mahoba-210423","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2004,SAU
Uttar Pradesh,32,"Dr. B.R. Ambedkar Agricultural Engineering College Farm, Distt. Etawah-206001","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2004,SAU
Uttar Pradesh,33,"C/o DAO, Distt. Kannauj-209 722","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2004,SAU
Uttar Pradesh,34,"Hazaratpur, PO. Ussain, Distt. Firozabad-283103","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2004,SAU
Uttar Pradesh,35,"Lakhaoti, Distt. Bulandshahar-245 404","Vice-Chancellor, Sardar Ballabh Bhai Patel Univ. of Agri. & Technology, Modipuram, Meerut, U.P.",2004,SAU
Uttar Pradesh,36,"R.B.S. College, Bichpuri, Distt. Agra-283105	Principal, Raja Balwant Singh College, Bichpuri, Agra-283 105	2002 OEI",,2002,OEI
Uttar Pradesh,37,"P.G. College, Ravindrapuri, Distt. Gazipur-233 002","Chairman, P.G. Gollege, Gazipur-233 002",2002,NGO
